,"Goal is to gradually add to this list of albums I
think are great that I noticed are not included in the list...
When you hit 1001 albums listened to, order this list 
chronologically and copy and paste into my 1001 list....
I am thinking that this list will have to be around 650 
freaking albums to make up the difference haha....",,
0,Album,Artist,Date
,Bach: The Goldberg Variations,Glenn Gould,1956
,Tshaikovsky & Sibelius Violen Concertos,"David Oistrakh, The Philadelphia Orchestra & Eugene Ormandy",1959
,Born Under a Bad Sign,Albert King,1967
,Days of Future Passed,Moody Blues,1967
,Chopin: Nocturnes,Arthur Rubinstein,1967
,The Dock of the Bay,Otis Redding ,1968
,The Allman Brothers Band (self titled),The Allman Brothers Band,1969
,Trespass,Genesis,1970
,Idlewild South,The Allman Brothers Band,1970
,Mad Dogs & Englishmen (Live at the Fillmore East),Joe Cocker,1970
,Nursery Cryme,Genesis,1971
,"12 Etudes Op. 25, Fantasia in D minor",Anton Kuerti,1971
,Mud Slide Slim and the Blue Horizon,James Taylor,1971
,Master of Reality,Black Sabbath,1971
,A Space In Time,Ten Years After,1971
,Foxtrot,Genesis,1972
,Just As I Am,Bill Withers,1971
,Still Bill,Bill Withers,1972
,The Harder They Come,Jimmy Cliff,1972
,Jackson Browne (self titled),Jackson Browne,1972
,Eat A Peach,The Allman Brothers Band,1972
,Houses of the Holy,Led Zeppelin,1973
,For Everyman,Jackson Browne,1973
,Funky Kingston,Tools and the Maytals,1973
,Sabbath Bloody Sabbath,Black Sabbath,1973
,Brothers and Sisters,The Allman Brothers Band,1973
,Twice Removed from Yesterday,Robin Trower,1973
,Late for the Sky,Jackson Browne,1974
,KISS (self titled),KISS,1974
,Anymore for Anymore,Ronnie Lane's Slim Chance,1974
,Mister Magic,Grover Washington Jr.,1974
,Beautiful Loser,Bob Seger,1975
,Alive!,KISS,1975
,A Trick of the Tail,Genesis,1976
,Wind & Wuthering,Genesis,1976
,Warren Zevon (self titled),Warren Zevon,1976
,The Pretender,Jackson Browne,1976
,Fly Like An Eagle,Steve Miller Band,1976
,Dirty Deeds Done Dirt Cheap,AC/DC,1976
,High Voltage,AC/DC,1976
,Night Moves,Bob Seger & The Silver Bullet Band,1976
,Silk Degrees,Boz Scaggs,1976
,Breezin',George Benson,1976
,Rising,Rainbow,1976
,Vivaldi: The Four Seasons,Itzhak Perlman & London Philharmonic Orchestra,1976
,Animals,Pink Floyd,1977
,Alive II,KISS,1977
,Running on Empty,Jackson Browne,1977
,Simple Dreams,Linda Ronstadt,1977
,JT (self titled-ish),James Taylor,1977
,I Robot,The Alan Parsons Project,1977
,Foreigner (Self Titled),Foreigner,1977
,...And Then There Were Three...,Genesis,1978
,Excitable Boy,Warren Zevon,1978
,Double Vision,Foreigner,1978
,Stranger In Town,Bob Seger & The Silver Bullet Band,1978
,You're Only Lonely,JD Souther,1979
,Look Sharp!,Joe Jackson,1979
,Head Games,Foreigner,1979
,I'm The Man,Joe Jackson,1979
,Duke,Genesis,1980
,Blizzard of Ozz,Ozzy Osborne,1980
,Heaven and Hell,Black Sabbath,1980
,Abacab,Genesis,1981
,Nine Tonight,Bob Seger & The Silver Bullet Band,1981
,Face Value,Phil Collins,1981
,Breakin' Away,Al Jarreau,1981
,Bella Donna,Stevie Nicks,1981
,Diary of a Madman,Ozzy Osborne,1981
,4,Foreigner,1981
,Mob Rules,Black Sabbath,1981
,Beethoven: Violen Concerto,"Itzhak Perlman, Carlo Maria Giulini & London Philharmonic Orchestra",1981
,"Hello, I Must Be Going!",Phil Collins,1982
,Screaming For Vengeance,Judas Priest,1982
,Genesis (self titled),Genesis,1983
,Bark at the Moon,Ozzy Osborne,1983
,Holy Diver,Dio,1983
,Jarreau,Al Jarreau,1983
,Lawyers In Love,Jackson Browne,1983
,Good As Gold!,The Country Gentlemen,1983
,Building the Perfect Beast,Don Henley,1984
,EB '84,The Everly Brothers,1984
,The Last In Line,Dio,1984
,Defenders of the Faith,Judas Priest,1984
,Beethoven: Symphony No. 9,Berlin Philharmonic & Herbert von Karajan,1984
,No Jacket Required,Phil Collins,1985
,Invisible Touch,Genesis,1986
,Suffer,Bad Religion,1988
,Leprosy,Death,1988
,...But Seriously,Phil Collins,1989
,Mother's Milk,Red Hot Chili Peppers,1989
,Ah Via Musicom,Eric Johnson,1990
,Painkiller,Judas Priest,1990
,No More Tears,Ozzy Osborne,1991
,Naughty By Nature (self titled),Naughty By Nature ,1991
,Human,Death,1991
,Temple of the Dog (self titled),Temple of the Dog,1991
,Today's Gospel Favorites,The Statler Brothers,1992
,Both Sides,Phil Collins,1993
,Individual Thought Patterns,Death,1993
,Sap/Jar of Flies (EP),Alice in Chains,1994
,Symbolic,Death,1995
,Evil Empire,Rage Against the Machine,1996
,The Colour And The Shape,Foo Fighters,1997
,One Of The Fortunate Few,Delbert McClinton,1997
,Colma,Buckhead,1998
,The Sound of Perseverance,Death,1998
,Tarzan (soundtrack),Phil Collins,1999
,American Football (self titled),American Football,1999
,The Battle of Los Angeles,Rage Against the Machine,1999
,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,2000
,Harry Potter and the Sourcerer's Stone (soundtrack),John Williams,2001
,Songs In A Minor ,Alicia Keys,2001
,Iowa,Slipknot,2001
,Disclaimer,Seether,2001
,Blackwater Park,Opeth,2001
,Wonder What's Next,Chevelle,2002
,Deliverance,Opeth,2002
,Perserverance,Hatebreed,2002
,Audioslave (self titled),Audioslave,2002
